#,CAKE Resource Title,CAKE Link,Last Updated,CAKE Status,CRT Status,CRT Link,Comments
1,Tybee Island Sea Level Rise Adaptation Plan,Tybee Island Sea Level Rise Adaptation Plan | CAKE,2021,Federally-related > CRT,Selected,https://toolkit.climate.gov/action-plan/tybee-island-sea-level-rise-adaptation-plan,"I drafted this as an action plan rather than a case study. Also, Community Resilience: Tybee Island creates Georgia’s first sea level rise plan is showing a 404 error"
2,"Integrating Climate Change into the Planning and Operations of the Apostle Islands National Lakeshore, Wisconsin",https://www.cakex.org/case-studies/integrating-climate-change-planning-and-operations-apostle-islands-national-lakeshore-wisconsin,2013,Federally-related > CRT,Selected,,"All links are broken, but if available elsewhere I could see this being a good addition to the Toolkit"
3,Climate Change Adaptation Planning at the State Level in Minnesota,https://www.cakex.org/case-studies/climate-change-adaptation-planning-state-level-minnesota,2012,Federally-related > CRT,Selected,,Quite a few broken links
4,The National Oceanic and Atmospheric Administration’s Great Lakes Climate Initiatives,https://www.cakex.org/case-studies/national-oceanic-and-atmospheric-administration%E2%80%99s-great-lakes-climate-initiatives,2012,Federally-related > CRT,Not Selected,,broken links
5,The National Estuarine Research Reserve’s “Planning for Climate Change” Workshop,https://www.cakex.org/case-studies/national-estuarine-research-reserve%E2%80%99s-%E2%80%9Cplanning-climate-change%E2%80%9D-workshop,2021,Federally-related > CRT,Selected,https://toolkit.climate.gov/case-study/national-estuarine-research-reserve%E2%80%99s-%E2%80%9Cplanning-climate-change%E2%80%9D-workshop,Drafted as a case study: https://toolkit.climate.gov/case-study/national-estuarine-research-reserve%E2%80%99s-%E2%80%9Cplanning-climate-change%E2%80%9D-workshop
6,Integrating Climate Change into Plan Revisions at El Yunque National Forest,https://www.cakex.org/case-studies/integrating-climate-change-plan-revisions-el-yunque-national-forest,2017,Federally-related > CRT,Selected,,
7,Addressing Climate Change Impacts in the Great Lakes Water Quality Agreement,https://www.cakex.org/case-studies/addressing-climate-change-impacts-great-lakes-water-quality-agreement,2013,Federally-related > CRT,Not Selected,,broken link
8,Florida's Community Resiliency Initiative 2011-2017,https://www.cakex.org/case-studies/floridas-community-resiliency-initiative-2011-2017,2018,Federally-related > CRT,Selected,,
9,Wind River Reservation Drought Preparedness,https://www.cakex.org/case-studies/wind-river-reservation-drought-preparedness,2020,Federally-related > CRT,Selected,,Is there an updated final report available?
10,NOAA 2010 Workshop Series: Habitat Conservation in a Changing Climate,https://www.cakex.org/case-studies/noaa-2010-workshop-series-habitat-conservation-changing-climate,2021,Federally-related > CRT,Selected,,
11,Gulf of California Mangrove Ecosystem Services,https://www.cakex.org/case-studies/gulf-california-mangrove-ecosystem-services,2010,Federally-related > CRT,Selected,,
